1;Cinéma;Qui a réalisé le film 'La fièvre du samedi soir'?;John Badham;John Travolta;John Payne;John Remezick;http://fr.wikipedia.org/wiki/La_Fièvre_du_samedi_soir
2;Histoire;Au Moyen-Age, comment appelait-on les villages fortifiés?;Bastide;Château fort;Rempart;Tour;http://fr.wikipedia.org/wiki/Bastide_(ville)
3;Cinéma;Dans quel film un couple faisant une croisière en bateau va-t-il recueillir un naufragé qui va les terrifier?;Calme blanc;Tempête en mer;Le naufragé;Les disparus;http://fr.wikipedia.org/wiki/Calme_blanc
4;Cinéma;Quel acteur français avait le premier rôle dans le film de Luchino Visconti 'Le Guépard', sorti en 1963?;Alain Delon;Claude Brasseur;Jean Gabin;Jean-Paul Belmondo;http://fr.wikipedia.org/wiki/Le_Guépard_(film,_1963)
5;Géographie;Quel pays du continent européen a pour capitale Madrid?;Espagne;Portugal;Italie;Grèce;http://fr.wikipedia.org/wiki/Madrid
6;Cinéma;Quel film à succès a réuni sur les écrans Sean Connery et Christophe Lambert?;Highlander;Subway;Mad Max;Greystoke;http://fr.wikipedia.org/wiki/Highlander
7;Sciences;Chez un être humain, quelle est la partie du membre inférieur comprise entre le genou et le pied?;Jambe;Bras;Tronc;Mollet;http://fr.wikipedia.org/wiki/Jambe
8;Nature;Comment appelle-t-on le fruit du plaqueminier?;Kaki;Kacha;Kali;Kakou;http://fr.wikipedia.org/wiki/Plaqueminier
9;Religion;Qui était le compagnon de saint Paul?;Saint-Luc;Saint-Matthieu;Saint-Jean;Saint-Marc;http://fr.wikipedia.org/wiki/Paul_de_Tarse
10;Cinéma;Dans quel film John Travolta incarne-t-il un ange tombé du ciel?;Michael;Johnny;Sam;Jerry;http://fr.wikipedia.org/wiki/Michael_(film,_1996)
11;Dessin animé;Quel est le nom du petit robot rouge mangeur de clous, ami de Télémaque dans la série télévisée 'Ulysse 31'?;Nono;Nunu;Nini;Nana;http://fr.wikipedia.org/wiki/Ulysse_31
12;Culture générale;Quel titre de noblesse est immédiatement inférieur à celui de comte?;Vicomte;Marquis;Duc;Archiduc;http://fr.wikipedia.org/wiki/Vicomte
13;Cinéma;De quelle série de six films un champion de boxe est-il la vedette?;Rocky;Ritchie;Rambo;Randy;http://fr.wikipedia.org/wiki/Rocky_(film,_1976)
14;Littérature;Quel personnage imaginaire fut popularisé par le roman de E.R. Burroughs (1875-1950) et par le cinéma?;Tarzan;King-Kong;Monstre du Loch Ness;Yéti;http://fr.wikipedia.org/wiki/Edgar_Rice_Burroughs
15;Nature;De quel arbre de Malaisie utilise-t-on le latex toxique pour empoisonner des flèches?;Upas;Umas;Utas;Uras;http://fr.wikipedia.org/wiki/Upas
16;Gastronomie;Quel apéritif à base de vin est aromatisé avec des plantes amères et toniques?;Vermouth;Kokebok;Gentiane;Pissolo;http://fr.wikipedia.org/wiki/Vermouth
17;Géographie;Quelle est la capitale de la Nouvelle-Zélande?;Wellington;Dublin;Sydney;Auckland;http://fr.wikipedia.org/wiki/Nouvelle-Zélande
18;Cinéma;A quel réalisateur français doit-on le film 'Banzaï'?;Claude Zidi;Claude Lelouch;Claude Chabrol;Claude Sautet;http://fr.wikipedia.org/wiki/Banzaï_(film)
19;Cinéma;Quel film a réuni sur les écrans Isabelle Adjani et Sharon Stone?;Diabolique;Les sorcières;Ange et Démon;Les ensorceleuses;http://fr.wikipedia.org/wiki/Diabolique
20;Sports;Comment est également appelée la 'Transat Jacques Vabre'?;Route du café;Route du rhum;Trophée du rhum;Vendée Globe;http://fr.wikipedia.org/wiki/Transat_Jacques_Vabre
